Date,ShareLink,ShareCommentary,SharedURL,MediaURL,Visibility
2021-01-02 03:30:12,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6750976448749813760,"World's routine.🤗""
""""
"" #datascience #dataanalytics ",,,MEMBER_NETWORK
2020-12-22 17:55:13,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6747207871366275072,"Dear #linkedinfamily""
""""
""I created R Notebook for beginners who wants to learn R from beginning and make strong command on it. ""
""""
""This notebook have lots of example and data calculation for practice purpose, it totally my practice notebook.""
""This R Notebook covers several topics including #datastructures used in R, #operators, #looping and #branching, user defined and lots of predefined #functions description, several graph like Line plot, bar plot, #histogram, #scatter plot, pie chart, #boxplot and some machine learning algorithms implementation.""
""""
""Note: if you feel any problem to interpret this attached R Notebook feel free to put your query in comment section or connect with me! ""
""""
"" #rprogramming #rstats #rstudio #datascience #machinelearning #programming ",,,MEMBER_NETWORK
2020-12-20 06:54:51,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6746316906707394560,"Dear LinkedIn family,""
""""
""Don't ignore this post. My friend jobless since November started. He has one year experience in production department from VVDN technology private limited due to some reason he lost his job.""
""""
""Situation become tough day by day and he almost disturbed by job searching no luck works.""
""""
""Desperately he looking a new job and ready to immediate joining..""
""""
""Kindly reach out to him if you have vaccancy. If you don't have, please like, share and comment for better reach. ""
""""
""Note: you can find resume attachment below.""
""""
""Thanks & Regards, Bharat Sharma""
""Email: bharatbrijwasi777@gmail.com""
""""
""#hrdata #jobcareer #jobcandidates #naukari ",,,MEMBER_NETWORK
2020-12-15 08:03:37,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6744522274667335680,"Dear R users,""
""Please go through this survey.""
""#rprogramming #rstats #rstudio #rladies #rlanguage #datascience ",,,MEMBER_NETWORK
2020-12-01 04:02:21,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6739388129679065088,R enthusiastic please check out this👍🤗 #rprogramming #datascience ,,,MEMBER_NETWORK
2020-11-28 15:35:38,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6738475433542639616,,,,MEMBER_NETWORK
2020-11-28 15:33:16,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6738474840656801792,,,,MEMBER_NETWORK
2020-11-28 12:04:48,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6738422378734379008,"How I built my first #excel dashboard of favourite players in my week 0 of Alphaa Al fellowship.""
""‍""
""Today, I start my journey of becoming a Citizen Data Scientist with my #AlphaaAl community who bring in a data-first approach to every decision we make.""
""""
""With @Saurabh Moody & @Preksha Kaparwan I invite you to join the largest Alphaa Al Citizen Data Scientists Community 👉 http://bit.ly/fellow-nv1""
""‍""
""We are on a mission to make data access for everyone as easy as asking questions on data without needing any IT Support.",,,MEMBER_NETWORK
2020-11-28 03:07:40,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6738287201257353216,#googledevelopers  #googleindia #research ,,,MEMBER_NETWORK
2020-11-27 14:50:40,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6738101731084824576,,,,MEMBER_NETWORK
2020-11-27 14:46:51,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6738100772082376704,"pretty awesome news for me.🤗""
""I'm a part of Alphaa AI fellowship program now, that officially start from 4th December. I'm very curious about this.""
""thanks Saurabh Moody Voiceman sir! hope I enjoy myself with you and Preksha Kaparwan mam.",,,MEMBER_NETWORK
2020-11-19 15:49:09,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6735217345876287488,,,,MEMBER_NETWORK
2020-11-17 13:03:37,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6734450912099745792,,,,MEMBER_NETWORK
2020-11-05 05:37:01,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6729989868899901440,"Dear connection,""
""""
"" I want some information via #R community and users. I work on IoT project so my sensor data store on Google firebase now I want get that data on my #shiny dashboard for real time monitoring. Who I can do that?""
""""
""Please give some suggestions!""
""RStudio PBC   R-Ladies Tunis ",,,MEMBER_NETWORK
2020-09-30 05:25:06,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6716940905078669312,"Scholarship winner in advance Learning""
""#devincept DevIncept   #devinceptfreecourse #givemycertificate",,,MEMBER_NETWORK
2020-09-23 08:58:58,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6714458011512950785,"Help out the beginner data enthusiastic by expressing your view.""
""""
""#datascience #machinelearning #artficialintelligence #dataanalytics #rprogramming #pythonprogramming ",,,MEMBER_NETWORK
2020-09-17 15:23:07,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6712380356869316608,#datascience #mathematics #machinelearning ,,,MEMBER_NETWORK
2020-09-04 14:29:16,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A2258445-6707655765450137600,#github ,,,MEMBER_NETWORK
2020-09-04 14:27:51,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6707655409584418817,"Hi,""
""I know this is a lot to ask. But I'd be really happy if you could take two minutes to nominate me for this GitHub Star Program.""
""""
""My handle is @bharatbrijwasi""
""""
""Link: https://lnkd.in/enAnfH4""
""""
""Thank you""
"" # #github  #versioncontrol #machinelearning  #publication ",https://stars.github.com/nominate/,https://stars.github.com/social-image.jpg,MEMBER_NETWORK
